Oviedo,1973-74,P,G,E,G,P,G,P,E,P,G,P,P,P,P,P,G,G,P,G,G,P,P,E,P,P,E,P,P,P,G
Celta de Vigo,1973-74,G,P,G,E,G,P,P,P,G,E,P,P,P,G,E,G,E,P,G,P,G,P,E,E,G,P,G,G,P,G
Atletico de Bilbao,1973-74,P,G,P,G,E,G,E,P,G,P,G,G,E,G,G,E,G,G,P,P,P,E,G,G,P,P,E,P,G,P
Elche,1973-74,G,P,E,P,G,P,P,E,P,E,P,G,G,G,G,E,P,P,P,P,E,G,P,G,P,G,E,P,P,G
Barcelona,1973-74,P,E,P,G,P,E,G,G,E,G,E,G,G,G,G,G,G,G,G,G,E,G,G,G,E,G,E,G,G,E
Sporting de Gijon,1973-74,P,P,P,P,G,P,G,G,G,P,G,P,G,P,G,P,E,P,G,P,G,G,P,P,G,E,E,P,P,P
Atletico de Madrid,1973-74,G,G,P,G,P,G,P,G,P,E,P,G,E,E,P,G,P,G,G,G,E,G,G,G,E,P,E,G,P,G
Las Palmas,1973-74,G,P,G,P,P,G,P,G,P,G,P,G,P,G,P,G,P,P,P,P,E,P,G,G,P,E,E,G,E,E
CD Malaga,1973-74,P,G,E,E,E,G,E,G,E,G,P,P,P,G,G,P,G,G,G,G,P,E,E,G,P,E,E,G,P,E
Santander,1973-74,E,E,E,P,G,P,G,E,P,E,G,E,P,E,P,G,P,P,P,P,G,P,P,P,G,E,P,E,P,G
Zaragoza,1973-74,E,G,P,E,P,G,G,E,P,G,E,G,G,E,G,P,G,G,P,G,P,P,G,G,P,G,E,P,G,P
Espanol,1974-75,G,E,G,G,G,P,G,P,G,P,E,E,G,P,G,P,P,P,G,E,G,E,P,P,G,P,P,P,G,P
Celta de Vigo,1974-75,P,G,E,P,P,P,E,P,G,P,G,E,E,E,G,E,G,G,E,P,G,P,E,P,G,P,G,P,G,P
Sporting de Gijon,1974-75,G,G,P,P,E,G,P,G,E,E,E,E,P,G,P,G,E,P,E,E,E,P,P,G,P,E,P,G,P,G
Zaragoza,1974-75,P,G,G,E,P,G,P,G,P,G,E,G,P,E,G,E,G,G,E,E,E,G,P,G,P,G,P,E,G,G
Hercules,1974-75,E,P,P,E,E,G,G,P,E,G,P,G,P,E,P,P,G,E,E,E,E,E,E,P,G,E,G,G,E,G
Murcia,1974-75,E,G,P,E,P,G,P,E,P,E,E,P,P,P,G,P,P,E,P,G,P,E,E,E,P,G,P,P,P,P
Las Palmas,1974-75,G,E,E,E,P,P,G,P,G,E,E,P,E,P,P,G,P,P,G,E,G,P,G,P,G,P,G,P,E,P
Betis,1974-75,P,E,E,G,E,P,G,P,G,G,G,P,G,P,G,P,G,G,P,G,P,P,E,E,P,P,G,P,G,P
CD Malaga,1974-75,G,P,P,G,P,P,P,E,P,G,P,G,P,G,P,P,P,P,G,G,E,G,E,E,P,G,G,G,P,E
Atletico de Bilbao,1974-75,P,P,P,E,E,G,P,G,P,P,E,G,G,G,P,P,G,G,E,E,E,E,P,G,P,G,P,G,P,G
Real Sociedad,1974-75,G,P,G,P,E,P,G,P,E,E,E,E,E,E,G,G,G,P,E,P,G,G,G,P,E,E,G,E,E,P
Barcelona,1974-75,P,G,G,G,E,G,E,G,P,G,P,G,P,G,P,E,P,G,P,E,P,E,P,G,P,G,P,G,G,E
Valencia,1974-75,P,P,G,P,G,P,P,G,G,E,E,E,E,G,P,E,G,P,E,E,G,P,G,G,P,E,P,G,P,G
Real Madrid,1974-75,G,G,E,G,G,G,E,G,E,G,E,E,G,P,G,G,E,G,E,G,E,G,G,G,G,G,P,G,E,P
Atletico de Madrid,1974-75,E,P,G,P,G,P,E,E,E,E,G,E,E,G,P,E,P,E,G,P,E,P,G,P,G,E,G,P,E,G
Granada,1974-75,E,E,P,G,E,G,G,E,E,P,E,P,G,P,G,G,E,E,P,E,P,G,P,P,G,P,G,P,P,E
Salamanca,1974-75,G,P,E,E,E,P,G,P,P,P,E,E,E,G,P,G,E,G,G,P,E,E,G,E,G,E,P,E,E,G
Elche,1974-75,P,G,E,P,G,G,P,G,G,P,E,P,G,P,G,E,P,P,P,E,P,G,E,G,E,P,G,E,G,E
Elche,1975-76,P,P,G,P,G,P,P,E,E,P,G,E,E,E,P,E,E,P,E,P,G,P,E,P,E,P,G,P,E,P
Barcelona,1975-76,G,G,P,G,G,P,G,E,E,P,G,E,G,P,G,E,G,G,P,G,P,G,G,P,G,E,G,P,G,P
Espanol,1975-76,G,G,G,P,P,G,P,G,P,G,P,G,P,G,P,G,G,P,G,E,E,G,E,P,P,G,P,G,P,G
Hercules,1975-76,P,G,P,G,G,G,G,E,E,G,P,G,E,G,E,P,E,G,E,P,P,E,E,G,P,E,E,E,P,G
Sporting de Gijon,1975-76,E,E,P,P,P,P,G,P,G,E,P,P,P,E,P,E,P,E,G,P,G,E,G,P,G,P,E,P,E,G
Granada,1975-76,E,G,E,G,P,E,P,E,G,P,E,G,G,P,G,P,E,E,E,E,P,P,P,P,G,P,E,P,G,P
Real Sociedad,1975-76,G,P,P,G,P,E,G,G,E,E,P,E,P,E,P,P,E,P,G,G,E,E,P,E,P,G,G,G,P,G
